segment	routine	legacy_status	port_state	callers	calls	asm_lines	source_evidence	note
seg000	stuntsmain	ported	c_active_with_asm	1	106	490	src/restunts/c/restunts.c	-
seg000	run_intro_looped	pending	asm_only	2	30	92	-	-
seg000	run_intro	pending	asm_only	1	28	78	-	-
seg000	load_intro_resources	pending	asm_only	1	206	712	-	-
seg000	run_menu	pending	asm_only	1	30	139	-	-
seg000	run_tracks_menu	pending	asm_only	1	114	436	-	-
seg000	highscore_write_a	pending	asm_only	4	12	99	-	-
seg000	highscore_text_unk	pending	asm_only	5	56	220	-	-
seg000	print_highscore_entry	pending	asm_only	2	20	131	-	-
seg000	enter_hiscore	pending	asm_only	2	30	153	-	-
seg000	highscore_write_b	pending	asm_only	1	4	58	-	-
seg000	run_car_menu	pending	asm_only	2	212	1171	-	-
seg000	run_opponent_menu	pending	asm_only	1	112	535	-	-
seg000	run_option_menu	pending	asm_only	1	54	206	-	-
seg000	end_hiscore	pending	asm_only	1	382	1739	-	-
seg000	security_check	pending	asm_only	2	36	180	-	-
seg000	set_default_car	ported	c_active_with_asm	1	0	10	src/restunts/c/restunts.c:249	-
seg001	opponent_op	pending	asm_only	2	40	613	-	-
seg001	mat_mul_vector2	ported	c_active_with_asm	2	2	27	src/restunts/c/math.c:180	-
seg001	update_player_state	ported	c_active_with_asm	2	170	2464	src/restunts/c/stateply.c:62	-
seg001	init_carstate_from_simd	ported	c_active_with_asm	3	0	226	src/restunts/c/restunts.c:370	-
seg001	init_game_state	ported	c_active_with_asm	11	60	435	src/restunts/c/restunts.c:443	-
seg001	restore_gamestate	ported	c_active_with_asm	5	8	94	src/restunts/c/restunts.c:583	-
seg001	update_gamestate	ported	c_active_with_asm	5	26	182	src/restunts/c/restunts.c:619	-
seg001	player_op	ported	c_active_with_asm	2	44	589	src/restunts/c/state.c:207	-
seg001	detect_penalty	pending	asm_only	1	0	223	-	-
seg001	update_car_speed	ported	c_active_with_asm	3	16	492	src/restunts/c/statecar.c:50	The active C wrapper immediately calls the preserved assembly routine; the following translation is unreachable.
seg001	update_grip	pending	asm_only	2	12	438	-	-
seg001	car_car_speed_adjust_maybe	pending	asm_only	1	18	142	-	-
seg001	carState_rc_op	pending	asm_only	1	0	163	-	-
seg001	upd_statef20_from_steer_input	pending	asm_only	1	2	105	-	-
seg001	audio_carstate	pending	asm_only	13	20	391	-	-
seg001	audio_unk3	pending	asm_only	1	4	16	-	-
seg001	sub_18D06	pending	asm_only	1	4	30	-	-
seg001	sub_18D60	pending	asm_only	10	0	320	-	-
seg001	car_car_coll_detect_maybe	pending	asm_only	5	18	352	-	-
seg001	init_plantrak	pending	asm_only	1	6	148	-	-
